LAT,LON,DATE,PRECTOT
-4.96019,119.56881,8/31/2001,0
-4.96019,119.56881,9/1/2001,0
-4.96019,119.56881,9/2/2001,0
-4.96019,119.56881,9/3/2001,0
-4.96019,119.56881,9/4/2001,0.03
-4.96019,119.56881,9/5/2001,0.47
-4.96019,119.56881,9/6/2001,0.42
-4.96019,119.56881,9/7/2001,0.03
-4.96019,119.56881,9/8/2001,0.04
-4.96019,119.56881,9/9/2001,0.43
-4.96019,119.56881,9/10/2001,0.88
-4.96019,119.56881,9/11/2001,0.92
-4.96019,119.56881,9/12/2001,4.01
-4.96019,119.56881,9/13/2001,0.13
-4.96019,119.56881,9/14/2001,0.12
-4.96019,119.56881,9/15/2001,0.33
-4.96019,119.56881,9/16/2001,0.05
-4.96019,119.56881,9/17/2001,0
-4.96019,119.56881,9/18/2001,0
-4.96019,119.56881,9/19/2001,0
-4.96019,119.56881,9/20/2001,0.16
-4.96019,119.56881,9/21/2001,0.25
-4.96019,119.56881,9/22/2001,1.07
-4.96019,119.56881,9/23/2001,3.95
-4.96019,119.56881,9/24/2001,1.04
-4.96019,119.56881,9/25/2001,0.08
-4.96019,119.56881,9/26/2001,0.43
