LAT,LON,DATE,T2M,PRECTOT,RH2M
-4.96019,119.56881,12/1/2000,25.89,12.48,88.63
-4.96019,119.56881,12/2/2000,25.53,39.01,87.4
-4.96019,119.56881,12/3/2000,25.38,50.67,88.07
-4.96019,119.56881,12/4/2000,25.94,19.69,85.93
-4.96019,119.56881,12/5/2000,26.36,5.44,84.63
-4.96019,119.56881,12/6/2000,26.71,10.35,84.24
-4.96019,119.56881,12/7/2000,26.71,4.13,82.98
-4.96019,119.56881,12/8/2000,26.23,4.23,86.79
-4.96019,119.56881,12/9/2000,25.92,2.73,88.45
-4.96019,119.56881,12/10/2000,25.92,0.87,86.13
-4.96019,119.56881,12/11/2000,25.85,0.6,86.59
-4.96019,119.56881,12/12/2000,25,7.33,89.21
-4.96019,119.56881,12/13/2000,25.4,9.96,88.22
-4.96019,119.56881,12/14/2000,25.26,21.71,88.73
-4.96019,119.56881,12/15/2000,25.02,14.76,89.46
-4.96019,119.56881,12/16/2000,25.4,4.54,86.89
-4.96019,119.56881,12/17/2000,25.58,3,86.23
-4.96019,119.56881,12/18/2000,25.88,6.04,86.79
-4.96019,119.56881,12/19/2000,26.36,0.99,84.67
-4.96019,119.56881,12/20/2000,25.92,2.58,88.74
-4.96019,119.56881,12/21/2000,25.44,4.85,89.96
-4.96019,119.56881,12/22/2000,25.47,8,87.54
-4.96019,119.56881,12/23/2000,25.94,6.55,87.03
-4.96019,119.56881,12/24/2000,26,3.67,87.36
-4.96019,119.56881,12/25/2000,25.09,14.99,91.05
-4.96019,119.56881,12/26/2000,24.99,3.8,89.58
-4.96019,119.56881,12/27/2000,25.61,1.06,85.2
-4.96019,119.56881,12/28/2000,25.48,0.81,87.82
-4.96019,119.56881,12/29/2000,26.7,0.79,82.92
-4.96019,119.56881,12/30/2000,26.73,0.49,81.52
-4.96019,119.56881,12/31/2000,26.76,0.86,79.34
-4.96019,119.56881,1/1/2001,26.9,0.53,76.44
-4.96019,119.56881,1/2/2001,27.01,0.28,75.23
-4.96019,119.56881,1/3/2001,25.9,2.33,88.12
-4.96019,119.56881,1/4/2001,25.47,28.05,86.77
-4.96019,119.56881,1/5/2001,25.14,21.48,89.03
-4.96019,119.56881,1/6/2001,24.76,11.18,90.54
-4.96019,119.56881,1/7/2001,25.41,8.06,87.71
-4.96019,119.56881,1/8/2001,25.1,31.04,91.07
-4.96019,119.56881,1/9/2001,25.31,53.03,91.35
-4.96019,119.56881,1/10/2001,25.36,60.12,91.04
-4.96019,119.56881,1/11/2001,24.95,41.06,92.12
-4.96019,119.56881,1/12/2001,24.8,14.31,89.62
-4.96019,119.56881,1/13/2001,25.56,8.28,85.57
-4.96019,119.56881,1/14/2001,25.25,8.06,86.75
-4.96019,119.56881,1/15/2001,25.24,9.99,90.88
-4.96019,119.56881,1/16/2001,24.8,25.92,91.06
-4.96019,119.56881,1/17/2001,25.24,5.43,90
-4.96019,119.56881,1/18/2001,25.19,4.97,88.72
-4.96019,119.56881,1/19/2001,25.2,27.12,91.07
-4.96019,119.56881,1/20/2001,25.17,8.24,88.16
-4.96019,119.56881,1/21/2001,25.18,20.59,89.04
-4.96019,119.56881,1/22/2001,25.26,7.76,90.61
-4.96019,119.56881,1/23/2001,25.86,8.43,86.38
-4.96019,119.56881,1/24/2001,25.95,7.63,85.5
-4.96019,119.56881,1/25/2001,26.19,2.99,84.11
-4.96019,119.56881,1/26/2001,26.41,2.06,82.73
-4.96019,119.56881,1/27/2001,25.94,14.68,85.86
-4.96019,119.56881,1/28/2001,25.35,13.98,90.94
-4.96019,119.56881,1/29/2001,25.31,24.88,91.23
-4.96019,119.56881,1/30/2001,25.29,6.39,90.18
-4.96019,119.56881,1/31/2001,25.42,5.29,89.24
-4.96019,119.56881,2/1/2001,25.91,24.6,86.71
-4.96019,119.56881,2/2/2001,24.91,106.98,92.03
-4.96019,119.56881,2/3/2001,24.68,22.71,91.76
-4.96019,119.56881,2/4/2001,25.23,22.78,90.45
-4.96019,119.56881,2/5/2001,25.01,34.3,90.42
-4.96019,119.56881,2/6/2001,25.22,9.68,89.12
-4.96019,119.56881,2/7/2001,25.14,21.6,91.41
-4.96019,119.56881,2/8/2001,25.32,27.99,91.82
-4.96019,119.56881,2/9/2001,25.07,19.8,92.47
-4.96019,119.56881,2/10/2001,25.23,5.17,90.27
-4.96019,119.56881,2/11/2001,25.6,1.1,87.94
-4.96019,119.56881,2/12/2001,25.42,0.8,89.34
-4.96019,119.56881,2/13/2001,25.34,2.35,89.39
-4.96019,119.56881,2/14/2001,25.43,1.75,88.7
-4.96019,119.56881,2/15/2001,25.72,3.49,88.88
-4.96019,119.56881,2/16/2001,24.92,12.46,90.69
-4.96019,119.56881,2/17/2001,25.05,15.3,91.36
-4.96019,119.56881,2/18/2001,24.97,20.33,91.25
-4.96019,119.56881,2/19/2001,24.98,22.59,91.41
-4.96019,119.56881,2/20/2001,25.31,21.52,89.8
-4.96019,119.56881,2/21/2001,25.31,4.19,90.31
-4.96019,119.56881,2/22/2001,25.66,0.42,86.16
-4.96019,119.56881,2/23/2001,25.38,3.49,87.58
-4.96019,119.56881,2/24/2001,25.52,1.76,85.26
-4.96019,119.56881,2/25/2001,25.42,5.13,86.76
-4.96019,119.56881,2/26/2001,26.53,1.53,80.74
-4.96019,119.56881,2/27/2001,25.9,0.71,85.06
-4.96019,119.56881,2/28/2001,25.92,0.77,86.87
-4.96019,119.56881,3/1/2001,25.61,5.39,88.31
-4.96019,119.56881,3/2/2001,25.89,8.93,88.75
-4.96019,119.56881,3/3/2001,25.35,32.84,92.26
-4.96019,119.56881,3/4/2001,25.11,58.03,92.69
-4.96019,119.56881,3/5/2001,25.05,15.79,91.35
-4.96019,119.56881,3/6/2001,25.02,18.8,91.12
-4.96019,119.56881,3/7/2001,24.99,17,91.84
-4.96019,119.56881,3/8/2001,24.99,4.16,90.51
-4.96019,119.56881,3/9/2001,25.53,2.31,87.61
-4.96019,119.56881,3/10/2001,25.62,3.8,88.6
-4.96019,119.56881,3/11/2001,25.43,14.38,90.4
-4.96019,119.56881,3/12/2001,24.92,21.13,92.73
-4.96019,119.56881,3/13/2001,24.69,9.19,89.34
-4.96019,119.56881,3/14/2001,25.83,0.77,81.41
-4.96019,119.56881,3/15/2001,25.29,3.03,86.84
-4.96019,119.56881,3/16/2001,25.36,5.04,86.43
-4.96019,119.56881,3/17/2001,25.31,10.27,88.1
-4.96019,119.56881,3/18/2001,25.48,17.36,90.41
-4.96019,119.56881,3/19/2001,25.39,7.6,87.94
-4.96019,119.56881,3/20/2001,25.16,8.08,89.06
-4.96019,119.56881,3/21/2001,25.76,6.08,88.58
-4.96019,119.56881,3/22/2001,25.7,3.97,82.54
-4.96019,119.56881,3/23/2001,26.95,0.81,77.24
-4.96019,119.56881,3/24/2001,26.09,3.62,84.93
-4.96019,119.56881,3/25/2001,25.49,4.46,88.09
-4.96019,119.56881,3/26/2001,26.43,0.68,80.5
-4.96019,119.56881,3/27/2001,26.27,3.71,83.34
-4.96019,119.56881,3/28/2001,26.17,2.22,83.49
-4.96019,119.56881,3/29/2001,25.98,3.23,84.27
-4.96019,119.56881,3/30/2001,26.34,1.35,80.97
-4.96019,119.56881,3/31/2001,26.94,1.75,79.92
-4.96019,119.56881,4/1/2001,26.28,11.34,84.95
-4.96019,119.56881,4/2/2001,25.98,4.64,84.14
-4.96019,119.56881,4/3/2001,26.52,1.45,83.61
-4.96019,119.56881,4/4/2001,26.97,6.51,82.67
-4.96019,119.56881,4/5/2001,25.47,5.16,90.66
-4.96019,119.56881,4/6/2001,25.6,2.44,86.47
